0;1;2;3;sum
9.52;10.0;8.96;10.0;75.07
9.52;9.46;9.58;8.33;72.91
10.0;10.0;10.0;10.0;60.0
2.48;0.0;0.0;0.0;2.48
6.57;6.07;5.92;0.0;29.98
0.0;0.0;0.0;0.0;0.0
9.52;9.52;0.0;0.0;19.04
10.0;10.0;10.0;10.0;80.0
10.0;10.0;10.0;10.0;63.31
8.57;10.0;10.0;10.0;76.1
10.0;9.56;9.75;9.47;63.04
10.0;9.63;9.58;9.67;74.11
10.0;10.0;9.38;8.13;71.57
4.0;2.7;6.54;9.67;33.86
6.57;9.41;7.58;8.3;45.17
0.0;0.0;0.0;0.0;0.0
10.0;9.63;10.0;10.0;64.88
8.38;10.0;10.0;10.0;77.65
8.76;9.35;8.46;9.67;70.94
9.29;10.0;9.33;10.0;77.59
9.0;9.26;9.58;10.0;66.76
8.52;10.0;9.58;10.0;71.27
8.1;8.15;7.71;0.0;23.96
6.43;7.0;8.83;0.0;22.26
9.24;8.43;7.08;0.0;24.75
0.0;0.0;0.0;0.0;0.0
7.71;10.0;8.58;9.63;71.59
10.0;8.44;8.04;8.8;35.28
10.0;0.0;0.0;0.0;10.0
10.0;8.78;8.67;8.3;73.45
10.0;9.35;6.96;0.0;26.31
8.95;7.41;7.13;8.0;57.85
9.52;9.06;8.58;8.83;71.09
0.0;0.0;0.0;0.0;0.0
10.0;10.0;9.38;9.8;71.7
7.38;7.09;7.67;8.63;61.45
0.0;0.0;0.0;0.0;0.0
10.0;8.43;7.96;9.63;61.14
8.29;9.41;9.17;9.83;62.46
9.29;9.15;8.21;9.8;67.52
8.1;8.41;7.46;8.8;56.83
8.57;7.96;8.71;9.27;54.18
8.57;9.52;8.13;9.47;65.82
10.0;10.0;0.0;0.0;20.0
10.0;9.63;9.17;10.0;68.11
0.0;0.0;0.0;0.0;0.0
7.14;9.44;7.5;10.0;70.53
6.38;7.56;9.33;9.83;58.91
0.0;0.0;0.0;0.0;0.0
9.05;9.63;8.85;8.83;62.86
10.0;10.0;9.75;0.0;48.18
7.52;9.33;10.0;9.0;68.62
0.0;0.0;0.0;0.0;0.0
10.0;10.0;9.69;10.0;66.79
10.0;10.0;8.96;10.0;74.73
8.76;9.15;5.1;0.0;50.04
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
3.81;0.0;0.0;0.0;3.81
10.0;9.89;9.17;9.8;72.77
8.33;7.94;9.17;9.47;70.21
7.1;6.89;7.46;8.97;57.43
10.0;9.63;8.58;10.0;69.99
0.0;0.0;0.0;0.0;0.0
10.0;9.41;7.79;10.0;70.09
8.81;9.63;10.0;10.0;66.55
8.29;9.78;7.17;10.0;62.85
9.0;8.91;8.71;9.83;69.81
10.0;10.0;10.0;10.0;67.81
7.67;7.26;9.38;7.3;61.1
8.57;7.83;8.29;9.17;66.58
8.57;8.52;8.0;9.63;70.63
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
7.33;5.81;9.27;9.67;66.26
10.0;9.78;7.83;10.0;64.59
0.0;0.0;0.0;0.0;0.0
10.0;10.0;8.75;10.0;73.27
6.43;10.0;8.13;9.67;64.22
8.24;9.07;8.85;9.5;71.67
0.0;0.0;0.0;0.0;0.0
8.57;10.0;10.0;10.0;63.64
9.05;8.8;7.92;10.0;71.99
7.86;0.0;0.0;0.0;7.86
9.52;9.78;9.38;9.83;71.46
0.0;8.44;6.06;7.5;38.31
9.52;10.0;8.33;0.0;46.35
10.0;9.41;9.23;10.0;78.44
10.0;10.0;10.0;10.0;77.05
8.57;10.0;9.17;0.0;40.24
0.0;0.0;0.0;0.0;0.0
8.29;10.0;9.69;10.0;77.27
10.0;9.22;10.0;0.0;29.22
